Array Size: 5000, Search Value: 2, Comparisons: 12, Time: 435ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 397ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 380ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 602ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 275ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 502ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 406ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 345ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 890ms, Found: 0
Array Size: 5000, Search Value: 5, Comparisons: 12, Time: 280ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 393ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 272ms, Found: 0
Array Size: 5000, Search Value: 1, Comparisons: 12, Time: 488ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 286ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 261ms, Found: 0
Array Size: 5000, Search Value: 4, Comparisons: 12, Time: 357ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 300ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 314ms, Found: 0
Array Size: 5000, Search Value: -1, Comparisons: 12, Time: 340ms, Found: 0
Array Size: 5000, Search Value: 0, Comparisons: 12, Time: 304ms, Found: 0
Array Size: 5000, Search Value: 2, Comparisons: 12, Time: 402ms, Found: 0
Array Size: 6000, Search Value: 6, Comparisons: 12, Time: 449ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 299ms, Found: 0
Array Size: 6000, Search Value: 2, Comparisons: 12, Time: 446ms, Found: 0
Array Size: 6000, Search Value: 4, Comparisons: 12, Time: 687ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 622ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 358ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 227ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 686ms, Found: 0
Array Size: 6000, Search Value: 2, Comparisons: 12, Time: 317ms, Found: 0
Array Size: 6000, Search Value: 9, Comparisons: 12, Time: 301ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 274ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 247ms, Found: 0
Array Size: 6000, Search Value: 7, Comparisons: 12, Time: 317ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 278ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 346ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 379ms, Found: 0
Array Size: 6000, Search Value: 5, Comparisons: 12, Time: 348ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 707ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 287ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 333ms, Found: 0
Array Size: 6000, Search Value: 4, Comparisons: 12, Time: 503ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 284ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 324ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 393ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 1032ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 399ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 270ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 174ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 240ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 390ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 421ms, Found: 0
Array Size: 6000, Search Value: 5, Comparisons: 12, Time: 216ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 201ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 187ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 578ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 180ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 163ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 282ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 575ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 164ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 204ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 449ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 274ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 278ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 354ms, Found: 0
Array Size: 6000, Search Value: 2, Comparisons: 12, Time: 327ms, Found: 0
Array Size: 6000, Search Value: 0, Comparisons: 12, Time: 235ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 357ms, Found: 0
Array Size: 6000, Search Value: -1, Comparisons: 12, Time: 543ms, Found: 0
Array Size: 6000, Search Value: 1, Comparisons: 12, Time: 364ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 339ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 249ms, Found: 0
Array Size: 7000, Search Value: 3, Comparisons: 12, Time: 224ms, Found: 0
Array Size: 7000, Search Value: 6, Comparisons: 12, Time: 381ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 307ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 534ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 452ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 435ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 433ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 331ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 430ms, Found: 0
Array Size: 7000, Search Value: 6, Comparisons: 12, Time: 595ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 302ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 313ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 351ms, Found: 0
Array Size: 7000, Search Value: 3, Comparisons: 12, Time: 274ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 394ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 529ms, Found: 0
Array Size: 7000, Search Value: 5, Comparisons: 12, Time: 468ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 347ms, Found: 0
Array Size: 7000, Search Value: 7, Comparisons: 12, Time: 413ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 352ms, Found: 0
Array Size: 7000, Search Value: 8, Comparisons: 12, Time: 296ms, Found: 0
